member_number,ssn,first_name,last_name,dob,address,city,state,zip,phone,join_date,checking_balance,savings_balance
496032,897-70-1987,DANIELLE,JOHNSON,1958-04-18,18196 ANTHONY FORGE,NEW CAROLYN,WV,74064,886.737.94,2016-04-17,11823.3,21365.73
903370,186-61-4715,MICHAEL,COOPER,1957-07-31,781 MILLER HILL,BARBARALAND,WV,06507,+163431316,2016-04-15,5648.8,18107.1
942125,785-63-4189,VERONICA,BOWMAN,1977-06-19,30564 JASON PORT SUITE 376,THOMASBERG,OH,32826,0013882496,2016-12-05,13080.65,25597.64
899670,370-87-2024,BRYAN,JAMES,2007-05-01,018 MACK JUNCTIONS APT. 462,SMITHVIEW,PA,66113,0017289148,2014-03-09,10685.87,16235.22
348838,747-40-9923,JOHN,BRADLEY,1944-12-13,82278 JOSEPH WELL SUITE 383,RAYMONDSTAD,WV,57923,371.233.15,2011-08-29,2205.38,36985.48
596792,734-46-3090,JOHN,CALDWELL,1954-02-28,997 KRISTEN VALLEY,LEEVILLE,WV,86875,9564670106,2023-09-18,14644.49,10224.98
717561,752-65-2872,CHARLES,MORTON,1997-10-19,80132 TUCKER FOREST,BARRERABURGH,WV,50173,5646746872,2011-07-05,14403.18,24783.34
246166,392-86-8640,LEE,WILLIAMS,1972-01-06,81219 EMMA FREEWAY,WILSONSHIRE,WV,32772,0017906916,2016-07-13,3245.74,30547.1
506192,886-69-1497,EMILY,EVANS,1961-02-03,79911 WILLIAM CURVE,NICOLEBURY,OH,48935,3273849808,2015-09-27,14156.64,43602.38
824440,228-37-4193,GRACE,FARRELL,1973-12-17,16400 WISE ROUTE SUITE 278,HOFFMANVILLE,WV,10363,0017282059,2022-04-19,10966.88,40743.58
329326,393-37-4426,NICOLE,RUSSELL,1981-10-19,22602 PATTON LOOP,WEST ERIK,OH,92418,5605733754,2023-07-24,14286.71,22757.55
593268,455-25-2847,TAMMY,RAMIREZ,1983-03-20,850 NATALIE GREEN APT. 940,NEW RYANMOUTH,WV,57700,+158176934,2019-12-11,1808.27,24163.65
563042,215-94-2531,ELIZABETH,MARTINEZ,2000-10-18,656 SPENCER FIELDS SUITE 629,RICHARDTOWN,WV,40330,3366995777,2022-09-11,13091.03,29940.07
202362,549-43-9181,DYLAN,WILLIAMS,2006-07-03,6936 ROSS DRIVE,PORT MICHELLEVILLE,OH,56225,428.970.83,2023-12-23,10686.87,40511.36
844922,884-62-2689,RONALD,MEADOWS,1969-12-01,774 MARY HARBOR,SIMSVIEW,WV,58155,4435455812,2011-07-23,12665.8,32463.97
876520,856-81-9968,RICK,DANIELS,1967-11-13,6909 WOODS KNOLL,KARENCHESTER,PA,71046,0014899373,2019-06-22,2752.26,40515.95
623149,609-88-5592,ELIZABETH,MILLER,1968-09-27,04653 MURPHY TRACE SUITE 464,SOUTH ANDREWSIDE,OH,07327,9313003309,2013-02-10,5308.75,30068.9
956999,715-15-4589,CATHERINE,ADKINS,1947-05-20,1904 SANDERS STRAVE,NORTH BRITTANY,PA,82714,814.791.90,2022-12-06,14107.95,10994.8
977413,461-34-9451,DANIEL,YU,1982-10-25,262 GILBERT PLAIN SUITE 769,MARCUSBURY,OH,11860,9735799650,2021-02-10,14912.36,10534.82
626021,153-91-1067,JOSHUA,SMITH,2004-01-24,67837 WEST BROOK,WEST JEFFREYBURY,WV,40636,+169557885,2018-08-19,5642.0,19570.93
205326,824-86-1904,KATHLEEN,LOPEZ,1954-04-23,9894 MARISSA HILL APT. 524,LAKE AMANDAVIEW,PA,06466,9849271094,2024-09-17,4560.14,996.18
471518,342-96-8011,TIM,SHORT,1966-11-04,022 MILLER GATEWAY,NEW KATHYBURY,PA,68995,5776496499,2012-12-10,3769.9,27677.31
344392,158-44-4589,RICKY,NORRIS,1971-07-20,44713 FRENCH ROAD,SOUTH DANNY,WV,29967,+192462102,2018-01-01,2695.28,10545.03
661204,891-68-8157,CHRISTOPHER,WILLIAMS,1968-12-21,401 SUZANNE VILLAGES APT. 490,SOUTH APRIL,PA,58464,4297671756,2024-10-09,14117.53,2585.39
814402,887-63-8733,LISA,PIERCE,1970-07-10,5168 DIANE PLAINS SUITE 603,CINDYFORT,PA,82474,503.448.24,2013-12-19,12428.5,39199.82
340741,406-16-3274,MAUREEN,WILSON,2003-12-30,4846 BAIRD GARDENS,ARNOLDFURT,WV,25484,+198241465,2018-11-15,13219.44,37681.19
153579,246-50-4262,AMY,GIBSON,1961-06-22,396 MELISSA LOOP,WEST JULIEFURT,OH,51105,+142780289,2015-09-03,1868.62,29232.71
538507,168-60-2969,HEATHER,SANTOS,1997-07-07,7809 JIMMY SPUR SUITE 316,PORT CYNTHIAVILLE,WV,58654,8404050455,2013-02-22,3908.95,44498.82
100994,599-24-1481,CHRISTIAN,PITTS,1981-09-25,9237 STEVENS SHORES,PORT STEVENPORT,OH,89316,+192167594,2014-02-25,13104.9,5307.07
202846,295-45-2561,ASHLEY,ANDREWS,2007-02-05,64090 WALL HEIGHTS APT. 953,NEW JOHN,PA,99536,0018214047,2018-07-23,8895.56,33098.94
784424,407-36-7202,ROBIN,RIVAS,1957-01-25,5171 KAREN FORK SUITE 851,SMITHSIDE,WV,16700,754.596.51,2015-02-16,9193.34,28591.78
227906,143-79-2457,RICKY,TAYLOR,2003-12-10,1138 PAUL LAND SUITE 926,PORT TRACYCHESTER,OH,37167,7532773515,2011-12-21,1742.86,48305.85
556458,809-93-9163,JASON,FOWLER,2005-08-18,3293 MARIA PLAZA,NEW JASON,OH,31040,7295042284,2021-09-20,2053.43,16231.95
602282,880-68-6084,ALICIA,REESE,1971-12-24,917 SONIA CAPE SUITE 700,BOONECHESTER,WV,90429,4776115921,2017-05-26,5257.78,36705.8
390944,272-52-6134,CATHERINE,GARCIA,1987-04-26,7365 ROSS STREAM,WEST RONALDVIEW,OH,49561,4712111615,2024-09-17,1919.24,2471.06
741627,362-21-8989,RODNEY,MOON,1943-02-03,451 ERIC ORCHARD APT. 158,DANNYVIEW,WV,75749,268.499.80,2010-09-08,11450.24,34826.2
221533,691-47-3698,MOLLY,KNIGHT,1966-11-06,018 NICHOLAS MOTORWAY,ERICPORT,WV,95082,9998102290,2017-01-16,9574.73,9361.07
213237,551-92-7763,JUSTIN,GREGORY,1972-09-07,36900 KEVIN FOREST APT. 445,NORTH TYLERCHESTER,WV,23529,2688388516,2019-03-26,1335.1,25885.37
656077,753-57-5268,ASHLEY,MCKINNEY,1967-12-31,0529 COLLIER LAKE,SOUTH MEGANBURY,PA,57605,0014683164,2015-11-11,2143.19,12280.72
999289,833-98-1584,SUSAN,BREWER,1949-08-21,43292 GREGORY TRAIL,MARSHALLSHIRE,OH,76453,299.755.27,2016-02-16,3894.8,44776.51
717983,826-24-4850,JUSTIN,NEWMAN,2006-01-20,986 CARPENTER TURNPIKE,SOUTH REGINASHIRE,WV,85938,759.378.20,2018-06-16,14172.95,46610.51
475481,551-31-7036,CHELSEA,COX,2002-01-05,5905 MARK POINT SUITE 449,WEST CHRISTOPHER,PA,87481,8547629148,2025-07-21,6874.11,16293.56
329900,299-84-6055,RITA,DAVIS,1985-03-09,54235 LEE DAM APT. 141,LAKE MATTHEWBERG,OH,78783,6229292706,2024-02-26,8570.14,27572.26
386487,405-95-1981,JAMES,GREGORY,1978-05-20,4688 BURCH VIADUCT APT. 924,LAKE TIMOTHYSTAD,PA,73185,4818412478,2023-11-12,11956.96,46157.71
362497,452-19-4015,SARAH,PERRY,1966-07-21,61530 GALVAN VILLAGES SUITE 220,SAMANTHAFORT,WV,91736,4778901043,2011-04-24,1448.77,20519.44
356610,472-18-8507,ROBERT,BAUER,1970-09-05,9808 JENNIFER HIGHWAY,SMITHSTAD,PA,32032,0012628185,2014-05-26,14760.83,49252.14
636621,369-57-1748,ALLEN,KRAMER,1963-01-15,520 PAYNE VIA,PORT KIMBERLY,WV,61400,0017726217,2014-05-24,9759.65,46508.48
674160,119-19-3278,KAREN,LEE,1963-11-14,541 KIM LOCKS,KLINEFURT,PA,44939,8774584161,2015-01-11,1570.5,20.21
902819,631-53-4047,SEAN,ROBBINS,1950-12-04,7059 HILL TURNPIKE APT. 165,NORTH DOUGLAS,OH,80136,+177072135,2018-07-15,3669.16,10138.75
605031,131-73-2858,RAYMOND,BANKS,1956-07-26,27868 JOSE GREEN,LEWISPORT,OH,91462,631.621.72,2013-03-16,14138.38,32687.56
674454,707-49-6385,MICHAEL,WALKER,2006-08-01,70589 MCDONALD PLAZA,NEW NICOLE,OH,09118,7674866912,2024-04-03,11167.78,25374.34
989959,593-59-8319,BRIAN,MARTINEZ,1949-12-31,53584 JOHN ROADS,DAVIDPORT,OH,81035,+171822992,2014-07-26,7586.89,47175.18
480806,622-89-9196,JASON,ARMSTRONG,1981-08-16,8447 LINDA SPUR,EVANSLAND,WV,90758,4277677359,2022-01-02,4231.19,7565.26
255557,628-17-5650,ZACHARY,RODRIGUEZ,1956-01-13,7321 KELLY LIGHTS,WRIGHTBURGH,PA,43418,0019532278,2013-10-27,11136.16,33880.51
597932,530-80-5165,MICHAEL,WILLIAMS,1973-03-31,8016 NICOLE STREAM SUITE 650,WILLIAMSSIDE,OH,26014,4843168784,2024-09-05,12619.29,10999.4
266388,317-39-3635,KARI,GONZALEZ,1974-03-20,02578 HERNANDEZ PASSAGE,WEST SARAH,WV,42251,9696495888,2020-09-13,1723.54,14430.39
132382,179-99-7554,TINA,SILVA,1993-10-09,749 JENNIFER PRAIRIE,JACKSONFURT,PA,19870,+193029130,2017-10-08,13532.38,27590.76
889124,167-23-5350,NICHOLAS,FRYE,1970-11-07,549 LEE GATEWAY SUITE 843,KELLIEBOROUGH,OH,90972,0018757758,2011-10-13,12747.27,40173.34
654523,279-93-3277,SANDRA,DOUGLAS,1990-05-31,84842 CHRISTINA RADIAL,EAST BRENT,OH,70105,230.416.57,2020-05-09,12548.92,29990.46
294529,326-26-4600,KATELYN,MITCHELL,1959-01-01,93802 KHAN FALL,PORT RANDYFORT,WV,24921,0019404049,2015-07-22,11465.72,16994.16
124084,435-99-8551,JESSICA,WONG,1988-06-16,549 GREGORY WALKS,WILCOXHAVEN,WV,43483,6618227530,2015-02-15,2014.37,26062.67
