digital_user_id,username,email_address,full_name,phone,last_login,mobile_app_user,online_banking_user,bill_pay_enrolled,account_alerts
DB_562748,davidmeyers734,jacobhernandez@example.org,David Meyers,649-.27-1.97,2025-07-26,false,true,false,false
DB_537775,chadmorgan446,john69@example.net,Chad Morgan,+17-935-0822,2025-07-07,false,true,false,true
DB_856173,saramiller135,dariusjacobson@example.net,Sara Miller,536-329-4897,2025-07-15,false,true,true,true
DB_137239,richardjoseph399,kspence@example.org,Richard Joseph,661-617-0278,2025-07-13,false,true,false,true
DB_732700,nancyosborn812,jerryscott@example.org,Nancy Osborn,+18-322-2535,2025-07-29,true,true,true,false
DB_383081,gregorywagner262,hmitchell@example.org,Gregory Wagner,916-.48-3.62,2025-07-27,true,true,true,false
DB_313018,robertmitchell849,kendra41@example.net,Robert Mitchell,295-.81-3.68,2025-08-02,false,true,false,false
DB_870497,markgriffin856,marcusbell@example.org,Mark Griffin,263-884-9368,2025-07-09,true,true,false,true
DB_138960,jonathanpena352,joseph05@example.org,Jonathan Pena,773-.75-8.66,2025-07-19,false,true,true,true
DB_383499,vanessascott260,jerome19@example.net,Vanessa Scott,001-224-8205,2025-07-07,true,true,false,false
DB_905194,melissabentley232,daniel16@example.net,Melissa Bentley,510-730-2212,2025-07-13,true,true,true,true
DB_675647,christophercordova340,joelvazquez@example.com,Christopher Cordova,+15-485-6320,2025-07-22,false,true,false,true
DB_495838,monicaclark588,william91@example.com,Monica Clark,518-562-4793,2025-07-07,true,true,false,true
DB_744102,lauriewalsh721,emilydavis@example.com,Laurie Walsh,450-.78-2.43,2025-07-12,false,true,false,true
DB_358057,victorlozano928,thomasgarcia@example.com,Victor Lozano,001-527-8183,2025-07-26,true,true,true,true
DB_278000,michaelbennett213,jessecannon@example.net,Michael Bennett,+17-799-5196,2025-07-23,true,true,false,true
DB_266415,heatherskinner440,chelsea71@example.net,Heather Skinner,521-366-0952,2025-07-13,false,true,false,true
DB_582462,wesleyrodriguez68,jeffrey46@example.net,Wesley Rodriguez,429-759-1257,2025-07-24,true,true,true,false
DB_659454,ashleyphelps546,oyoung@example.com,Ashley Phelps,554-.85-6.36,2025-07-31,true,true,true,true
DB_437701,robertcannon828,hestertabitha@example.org,Robert Cannon,819-675-3584,2025-07-07,true,true,true,false
DB_558839,karensullivan430,diazwilliam@example.org,Karen Sullivan,515-.39-6.37,2025-07-31,true,true,true,true
DB_367400,lesliehernandez916,caseytammy@example.com,Leslie Hernandez,311-.95-5.82,2025-07-27,false,true,true,true
DB_266592,andreahorton19,michellehenderson@example.com,Andrea Horton,001-970-7629,2025-07-17,false,true,true,false
DB_330801,joshuaparker244,hclark@example.com,Joshua Parker,001-663-5073,2025-07-11,false,true,true,false
DB_938334,briannarodriguez463,travisyoung@example.com,Brianna Rodriguez,207-632-2836,2025-08-04,false,true,true,true
DB_860791,jennifersmith931,christophervasquez@example.net,Jennifer Smith,834-.43-7.79,2025-07-17,true,true,false,true
DB_187034,saranguyen383,robert77@example.net,Sara Nguyen,732-655-3983,2025-07-09,false,true,true,false
DB_402392,justinfields666,joseph94@example.net,Justin Fields,649-668-9509,2025-07-09,true,true,false,true
DB_167937,markdavis484,osbornjames@example.net,Mark Davis,603-323-6519,2025-08-01,false,true,false,true
DB_501857,madelineruiz136,john02@example.org,Madeline Ruiz,+14-772-0384,2025-07-25,true,true,true,true
DB_544321,deannamcgrath851,reedmaria@example.com,Deanna Mcgrath,516-434-4779,2025-07-31,true,true,true,false
DB_653642,michaelpearson916,hurstmichael@example.org,Michael Pearson,863-.43-4.27,2025-07-28,false,true,true,true
DB_576070,tamarareynolds609,torozco@example.net,Tamara Reynolds,+19-037-4030,2025-07-23,true,true,false,true
DB_413710,markgraves883,xrosario@example.net,Mark Graves,001-690-9165,2025-08-05,true,true,false,true
DB_799794,brianlambert920,vfranklin@example.net,Brian Lambert,757-871-0302,2025-07-18,false,true,true,false
DB_389598,catherinejohns915,jorge58@example.net,Catherine Johns,908-927-6817,2025-07-23,true,true,true,true
DB_687607,jennifermelendez973,dustinphillips@example.org,Jennifer Melendez,582-.94-0.73,2025-07-31,true,true,true,true
DB_159897,nataliedavis218,jeremy46@example.org,Natalie Davis,350-409-7064,2025-07-25,false,true,true,true
DB_495288,stephanielopez316,jacob79@example.org,Stephanie Lopez,+14-732-2357,2025-08-01,false,true,false,false
DB_815246,steverose842,pvance@example.net,Steve Rose,248-295-5877,2025-07-24,true,true,false,false
